scope,category,status,url,method,error,found_on
subdomain,broken,404,http://dataonline.bmkg.go.id/home,HEAD,,https://ptsp.bmkg.go.id
subdomain,broken,,http://web.meteo.bmkg.go.id/,GET,"HTTPConnectionPool(host='web.meteo.bmkg.go.id', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='web.meteo.bmkg.go.id', port=80): Failed to resolve 'web.meteo.bmkg.go.id' ([Errno 11001] getaddrinfo failed)""))",https://ppid.bmkg.go.id
subdomain,broken,404,https://aviation.bmkg.go.id/cdn-cgi/zaraz/s.js?z=JTdCJTIyZXhlY3V0ZWQlMjIlM0ElNUIlNUQlMkMlMjJ0JTIyJTNBJTIyQXZpYXRpb24lNUNuJTIwJTIwJTIwJTIwJTIyJTJDJTIyeCUyMiUzQTAuNTA2OTIyODk4NTU1NTkyNiUyQyUyMnclMjIlM0ExMjgwJTJDJTIyaCUyMiUzQTcyMCUyQyUyMmolMjIlM0E3MjAlMkMlMjJlJTIyJTNBMTI4MCUyQyUyMmwlMjIlM0ElMjJodHRwcyUzQSUyRiUyRndlYi1hdmlhdGlvbi5ibWtnLmdvLmlkJTJGJTIyJTJDJTIyciUyMiUzQSUyMiUyMiUyQyUyMmslMjIlM0EyNCUyQyUyMm4lMjIlM0ElMjJVVEYtOCUyMiUyQyUyMm8lMjIlM0EtNDgwJTJDJTIycSUyMiUzQSU1QiU1RCU3RA==,HEAD,,https://aviation.bmkg.go.id
subdomain,broken,404,https://aviation.bmkg.go.id/images/cb-bg.jpg,HEAD,,https://aviation.bmkg.go.id
subdomain,broken,404,https://aviation.bmkg.go.id/images/citra_radar_QCComposite.png,HEAD,,https://aviation.bmkg.go.id
subdomain,broken,404,https://aviation.bmkg.go.id/images/citra_satelit_ir.png,HEAD,,https://aviation.bmkg.go.id
subdomain,broken,404,https://aviation.bmkg.go.id/images/metar-bg.jpg,HEAD,,https://aviation.bmkg.go.id
subdomain,broken,404,https://aviation.bmkg.go.id/images/sigwx-bg.jpg,HEAD,,https://aviation.bmkg.go.id
subdomain,broken,404,https://aviation.bmkg.go.id/images/taf-bg.jpg,HEAD,,https://aviation.bmkg.go.id
subdomain,broken,404,https://bmkgsoft.bmkg.go.id/cdn-cgi/zaraz/s.js?z=JTdCJTIyZXhlY3V0ZWQlMjIlM0ElNUIlNUQlMkMlMjJ0JTIyJTNBJTIyTG9hZGluZyUyME1ldFZpZXclMjIlMkMlMjJ4JTIyJTNBMC4zMzUzMTUyNTY0NDY1MTExNyUyQyUyMnclMjIlM0ExMjgwJTJDJTIyaCUyMiUzQTcyMCUyQyUyMmolMjIlM0E3MjAlMkMlMjJlJTIyJTNBMTI4MCUyQyUyMmwlMjIlM0ElMjJodHRwcyUzQSUyRiUyRmJta2dzb2Z0LmJta2cuZ28uaWQlMkYlMjIlMkMlMjJyJTIyJTNBJTIyJTIyJTJDJTIyayUyMiUzQTI0JTJDJTIybiUyMiUzQSUyMlVURi04JTIyJTJDJTIybyUyMiUzQS00ODAlMkMlMjJxJTIyJTNBJTVCJTVEJTdE,HEAD,,https://bmkgsoft.bmkg.go.id
subdomain,broken,404,https://cuaca.bmkg.go.id/cdn-cgi/zaraz/s.js?z=JTdCJTIyZXhlY3V0ZWQlMjIlM0ElNUIlNUQlMkMlMjJ0JTIyJTNBJTIyQ3VhY2ElMjBCTUtHJTIyJTJDJTIyeCUyMiUzQTAuNDA1NDUzODM2MDU1NzQ2MDMlMkMlMjJ3JTIyJTNBMTI4MCUyQyUyMmglMjIlM0E3MjAlMkMlMjJqJTIyJTNBNzIwJTJDJTIyZSUyMiUzQTEyODAlMkMlMjJsJTIyJTNBJTIyaHR0cHMlM0ElMkYlMkZjdWFjYS5ibWtnLmdvLmlkJTJGJTIyJTJDJTIyciUyMiUzQSUyMiUyMiUyQyUyMmslMjIlM0EyNCUyQyUyMm4lMjIlM0ElMjJVVEYtOCUyMiUyQyUyMm8lMjIlM0EtNDgwJTJDJTIycSUyMiUzQSU1QiU1RCU3RA==,HEAD,,https://cuaca.bmkg.go.id
