host,category,status,error,url_sample,link_count
aviation.bmkg.go.id,broken,404,,https://aviation.bmkg.go.id/images/citra_radar_QCComposite.png,19
bmkgsoft.bmkg.go.id,broken,404,,https://bmkgsoft.bmkg.go.id/cdn-cgi/zaraz/s.js?z=JTdCJTIyZXhlY3V0ZWQlMjIlM0ElNUIlNUQlMkMlMjJ0JTIyJTNBJTIyTG9hZGluZyUyME1ldFZpZXclMjIlMkMlMjJ4JTIyJTNBMC4zMzUzMTUyNTY0NDY1MTExNyUyQyUyMnclMjIlM0ExMjgwJTJDJTIyaCUyMiUzQTcyMCUyQyUyMmolMjIlM0E3MjAlMkMlMjJlJTIyJTNBMTI4MCUyQyUyMmwlMjIlM0ElMjJodHRwcyUzQSUyRiUyRmJta2dzb2Z0LmJta2cuZ28uaWQlMkYlMjIlMkMlMjJyJTIyJTNBJTIyJTIyJTJDJTIyayUyMiUzQTI0JTJDJTIybiUyMiUzQSUyMlVURi04JTIyJTJDJTIybyUyMiUzQS00ODAlMkMlMjJxJTIyJTNBJTVCJTVEJTdE,2
cuaca.bmkg.go.id,broken,404,,https://cuaca.bmkg.go.id/cdn-cgi/zaraz/s.js?z=JTdCJTIyZXhlY3V0ZWQlMjIlM0ElNUIlNUQlMkMlMjJ0JTIyJTNBJTIyQ3VhY2ElMjBCTUtHJTIyJTJDJTIyeCUyMiUzQTAuNDA1NDUzODM2MDU1NzQ2MDMlMkMlMjJ3JTIyJTNBMTI4MCUyQyUyMmglMjIlM0E3MjAlMkMlMjJqJTIyJTNBNzIwJTJDJTIyZSUyMiUzQTEyODAlMkMlMjJsJTIyJTNBJTIyaHR0cHMlM0ElMkYlMkZjdWFjYS5ibWtnLmdvLmlkJTJGJTIyJTJDJTIyciUyMiUzQSUyMiUyMiUyQyUyMmslMjIlM0EyNCUyQyUyMm4lMjIlM0ElMjJVVEYtOCUyMiUyQyUyMm8lMjIlM0EtNDgwJTJDJTIycSUyMiUzQSU1QiU1RCU3RA==,80
dataonline.bmkg.go.id,broken,404,,https://dataonline.bmkg.go.id/cdn-cgi/zaraz/s.js?z=JTdCJTIyZXhlY3V0ZWQlMjIlM0ElNUIlNUQlMkMlMjJ0JTIyJTNBJTIyRGF0YSUyME9ubGluZSUyMC0lMjBEaXJla3RvcmF0JTIwRGF0YSUyMGRhbiUyMEtvbXB1dGFzaSUyMEJNS0clMjIlMkMlMjJ4JTIyJTNBMC4xNDYxNzQwOTMwMjY5ODI0OCUyQyUyMnclMjIlM0ExMjgwJTJDJTIyaCUyMiUzQTcyMCUyQyUyMmolMjIlM0E3MjAlMkMlMjJlJTIyJTNBMTI4MCUyQyUyMmwlMjIlM0ElMjJodHRwcyUzQSUyRiUyRmRhdGFvbmxpbmUuYm1rZy5nby5pZCUyRmRhdGFvbmxpbmUtaG9tZSUyMiUyQyUyMnIlMjIlM0ElMjIlMjIlMkMlMjJrJTIyJTNBMjQlMkMlMjJuJTIyJTNBJTIyVVRGLTglMjIlMkMlMjJvJTIyJTNBLTQ4MCUyQyUyMnElMjIlM0ElNUIlNUQlN0Q=,34
hidromet-sih3.bmkg.go.id,broken,404,,https://hidromet-sih3.bmkg.go.id,1
iklim.bmkg.go.id,broken,404,,https://iklim.bmkg.go.id/cdn-cgi/zaraz/s.js?z=JTdCJTIyZXhlY3V0ZWQlMjIlM0ElNUIlNUQlMkMlMjJ0JTIyJTNBJTIySW5mb3JtYXNpJTIwSWtsaW0lMjBCTUtHJTIwJTdDJTIyJTJDJTIyeCUyMiUzQTAuMzIzMDc3MTIxNDgzMzY1NCUyQyUyMnclMjIlM0ExMjgwJTJDJTIyaCUyMiUzQTcyMCUyQyUyMmolMjIlM0E3MjAlMkMlMjJlJTIyJTNBMTI4MCUyQyUyMmwlMjIlM0ElMjJodHRwcyUzQSUyRiUyRmlrbGltLmJta2cuZ28uaWQlMkZpZCUyRiUyMiUyQyUyMnIlMjIlM0ElMjIlMjIlMkMlMjJrJTIyJTNBMjQlMkMlMjJuJTIyJTNBJTIyVVRGLTglMjIlMkMlMjJvJTIyJTNBLTQ4MCUyQyUyMnElMjIlM0ElNUIlNUQlN0Q=,79
inatews.bmkg.go.id,broken,404,,https://inatews.bmkg.go.id/cdn-cgi/zaraz/s.js?z=JTdCJTIyZXhlY3V0ZWQlMjIlM0ElNUIlNUQlMkMlMjJ0JTIyJTNBJTIySW5hVEVXUyUyMC0lMjBCTUtHJTIwKEluZG9uZXNpYSUyMFRzdW5hbWklMjBFYXJseSUyMFdhcm5pbmclMjBTeXN0ZW0pJTIyJTJDJTIyeCUyMiUzQTAuNjY0ODcyNTEyODQzNzgyOCUyQyUyMnclMjIlM0ExMjgwJTJDJTIyaCUyMiUzQTcyMCUyQyUyMmolMjIlM0E3MjAlMkMlMjJlJTIyJTNBMTI4MCUyQyUyMmwlMjIlM0ElMjJodHRwcyUzQSUyRiUyRmluYXRld3MuYm1rZy5nby5pZCUyRiUyMiUyQyUyMnIlMjIlM0ElMjIlMjIlMkMlMjJrJTIyJTNBMjQlMkMlMjJuJTIyJTNBJTIyVVRGLTglMjIlMkMlMjJvJTIyJTNBLTQ4MCUyQyUyMnElMjIlM0ElNUIlNUQlN0Q=,33
jdih.bmkg.go.id,broken,404,,https://jdih.bmkg.go.id/cdn-cgi/zaraz/s.js?z=JTdCJTIyZXhlY3V0ZWQlMjIlM0ElNUIlNUQlMkMlMjJ0JTIyJTNBJTIySkRJSCUyMEJNS0clMjAtJTIwSmFyaW5nYW4lMjBEb2t1bWVudGFzaSUyMGRhbiUyMEluZm9ybWFzaSUyMEh1a3VtJTIwQk1LRyUyMiUyQyUyMnglMjIlM0EwLjY0NjU4OTk3MTk0MjM3MDQlMkMlMjJ3JTIyJTNBMTI4MCUyQyUyMmglMjIlM0E3MjAlMkMlMjJqJTIyJTNBNzIwJTJDJTIyZSUyMiUzQTEyODAlMkMlMjJsJTIyJTNBJTIyaHR0cHMlM0ElMkYlMkZqZGloLmJta2cuZ28uaWQlMkYlMjIlMkMlMjJyJTIyJTNBJTIyJTIyJTJDJTIyayUyMiUzQTI0JTJDJTIybiUyMiUzQSUyMlVURi04JTIyJTJDJTIybyUyMiUzQS00ODAlMkMlMjJxJTIyJTNBJTVCJTVEJTdE,67
mail.bmkg.go.id,broken,,"HTTPSConnectionPool(host='mail.bmkg.go.id', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='mail.bmkg.go.id', port=443): Failed to resolve 'mail.bmkg.go.id' ([Errno 11001] getaddrinfo failed)""))",https://mail.bmkg.go.id/,1
maritim.bmkg.go.id,broken,404,,https://maritim.bmkg.go.id/cuaca/maritim,52
meteo.bmkg.go.id,broken,404,,https://meteo.bmkg.go.id,1
portal.bmkg.go.id,broken,404,,https://portal.bmkg.go.id/cdn-cgi/zaraz/s.js?z=JTdCJTIyZXhlY3V0ZWQlMjIlM0ElNUIlNUQlMkMlMjJ0JTIyJTNBJTIyUG9ydGFsJTIwU1NPJTIwQk1LRyUyMC0lMjBTaW5nbGUlMjBTaWduLU9uJTIyJTJDJTIyeCUyMiUzQTAuMzM0MjU1NTc2OTI0OTYwMiUyQyUyMnclMjIlM0ExMjgwJTJDJTIyaCUyMiUzQTcyMCUyQyUyMmolMjIlM0E3MjAlMkMlMjJlJTIyJTNBMTI4MCUyQyUyMmwlMjIlM0ElMjJodHRwcyUzQSUyRiUyRnBvcnRhbC5ibWtnLmdvLmlkJTJGJTIyJTJDJTIyciUyMiUzQSUyMiUyMiUyQyUyMmslMjIlM0EyNCUyQyUyMm4lMjIlM0ElMjJVVEYtOCUyMiUyQyUyMm8lMjIlM0EtNDgwJTJDJTIycSUyMiUzQSU1QiU1RCU3RA==,10
ppid.bmkg.go.id,broken,404,,https://ppid.bmkg.go.id/cdn-cgi/zaraz/s.js?z=JTdCJTIyZXhlY3V0ZWQlMjIlM0ElNUIlNUQlMkMlMjJ0JTIyJTNBJTIyUFBJRCUyMEJNS0clMjIlMkMlMjJ4JTIyJTNBMC40MTc4NjE4ODcxNDIyNjEyNSUyQyUyMnclMjIlM0ExMjgwJTJDJTIyaCUyMiUzQTcyMCUyQyUyMmolMjIlM0E3MjAlMkMlMjJlJTIyJTNBMTI4MCUyQyUyMmwlMjIlM0ElMjJodHRwcyUzQSUyRiUyRnBwaWQuYm1rZy5nby5pZCUyRiUyMiUyQyUyMnIlMjIlM0ElMjIlMjIlMkMlMjJrJTIyJTNBMjQlMkMlMjJuJTIyJTNBJTIyVVRGLTglMjIlMkMlMjJvJTIyJTNBLTQ4MCUyQyUyMnElMjIlM0ElNUIlNUQlN0Q=,46
